날짜,시간,발전기명,설비용량(MW),해당 시간 발전량(kWh),해당날짜 총 발전량(kMh)
2023-01-11,06시,(군산)삼랑진태양광,3.0,0.0,7363.8
2023-01-11,07시,(군산)삼랑진태양광,3.0,0.0,7363.8
2023-01-11,08시,(군산)삼랑진태양광,3.0,0.576,7363.8
2023-01-11,09시,(군산)삼랑진태양광,3.0,254.45999999999998,7363.8
2023-01-11,10시,(군산)삼랑진태양광,3.0,930.924,7363.8
2023-01-11,11시,(군산)삼랑진태양광,3.0,1589.748,7363.8
2023-01-11,12시,(군산)삼랑진태양광,3.0,1906.6080000000002,7363.8
2023-01-11,13시,(군산)삼랑진태양광,3.0,1999.116,7363.8
2023-01-11,14시,(군산)삼랑진태양광,3.0,1899.108,7363.8
2023-01-11,15시,(군산)삼랑진태양광,3.0,1572.996,7363.8
2023-01-11,16시,(군산)삼랑진태양광,3.0,951.024,7363.8
2023-01-11,17시,(군산)삼랑진태양광,3.0,308.448,7363.8
2023-01-11,18시,(군산)삼랑진태양광,3.0,2.376,7363.8
2023-01-11,19시,(군산)삼랑진태양광,3.0,0.0,7363.8
2023-01-11,20시,(군산)삼랑진태양광,3.0,0.0,7363.8
2023-01-11,21시,(군산)삼랑진태양광,3.0,0.0,7363.8
2023-01-11,22시,(군산)삼랑진태양광,3.0,0.0,7363.8
2023-01-11,23시,(군산)삼랑진태양광,3.0,0.0,7363.8
2023-01-11,24시,(군산)삼랑진태양광,3.0,0.0,7363.8
2023-01-12,01시,(군산)삼랑진태양광,3.0,0.0,7454.16
2023-01-12,02시,(군산)삼랑진태양광,3.0,0.0,7454.16
2023-01-12,03시,(군산)삼랑진태양광,3.0,0.0,7454.16
2023-01-12,04시,(군산)삼랑진태양광,3.0,0.0,7454.16
2023-01-12,05시,(군산)삼랑진태양광,3.0,0.0,7454.16
2023-01-12,06시,(군산)삼랑진태양광,3.0,0.0,7454.16
2023-01-12,07시,(군산)삼랑진태양광,3.0,0.0,7454.16
2023-01-12,08시,(군산)삼랑진태양광,3.0,0.6599999999999999,7454.16
2023-01-12,09시,(군산)삼랑진태양광,3.0,260.076,7454.16
2023-01-12,10시,(군산)삼랑진태양광,3.0,972.8520000000001,7454.16
2023-01-12,11시,(군산)삼랑진태양광,3.0,1646.9759999999999,7454.16
2023-01-12,12시,(군산)삼랑진태양광,3.0,1971.504,7454.16
2023-01-12,13시,(군산)삼랑진태양광,3.0,2047.1640000000002,7454.16
2023-01-12,14시,(군산)삼랑진태양광,3.0,1910.3400000000001,7454.16
2023-01-12,15시,(군산)삼랑진태양광,3.0,1605.792,7454.16
2023-01-12,16시,(군산)삼랑진태양광,3.0,973.224,7454.16
2023-01-12,17시,(군산)삼랑진태양광,3.0,130.68,7454.16
2023-01-12,18시,(군산)삼랑진태양광,3.0,2.7,7454.16
2023-01-12,19시,(군산)삼랑진태양광,3.0,0.0,7454.16
2023-01-12,20시,(군산)삼랑진태양광,3.0,0.0,7454.16
2023-01-12,21시,(군산)삼랑진태양광,3.0,0.0,7454.16
2023-01-12,22시,(군산)삼랑진태양광,3.0,0.0,7454.16
2023-01-12,23시,(군산)삼랑진태양광,3.0,0.0,7454.16
2023-01-12,24시,(군산)삼랑진태양광,3.0,0.0,7454.16
2023-01-13,01시,(군산)삼랑진태양광,3.0,0.0,519.3
2023-01-13,02시,(군산)삼랑진태양광,3.0,0.0,519.3
2023-01-13,03시,(군산)삼랑진태양광,3.0,0.0,519.3
2023-01-13,04시,(군산)삼랑진태양광,3.0,0.0,519.3
2023-01-13,05시,(군산)삼랑진태양광,3.0,0.0,519.3
2023-01-13,06시,(군산)삼랑진태양광,3.0,0.0,519.3
2023-01-13,07시,(군산)삼랑진태양광,3.0,0.0,519.3
2023-01-13,08시,(군산)삼랑진태양광,3.0,0.0,519.3
2023-01-13,09시,(군산)삼랑진태양광,3.0,0.0,519.3
2023-01-13,10시,(군산)삼랑진태양광,3.0,8.556000000000001,519.3
2023-01-13,11시,(군산)삼랑진태양광,3.0,56.508,519.3
2023-01-13,12시,(군산)삼랑진태양광,3.0,46.284,519.3
2023-01-13,13시,(군산)삼랑진태양광,3.0,71.28,519.3
2023-01-13,14시,(군산)삼랑진태양광,3.0,134.46,519.3
2023-01-13,15시,(군산)삼랑진태양광,3.0,119.83200000000001,519.3
2023-01-13,16시,(군산)삼랑진태양광,3.0,161.844,519.3
2023-01-13,17시,(군산)삼랑진태양광,3.0,232.224,519.3
2023-01-13,18시,(군산)삼랑진태양광,3.0,2.3280000000000003,519.3
2023-01-13,19시,(군산)삼랑진태양광,3.0,0.0,519.3
2023-01-13,20시,(군산)삼랑진태양광,3.0,0.0,519.3
2023-01-13,21시,(군산)삼랑진태양광,3.0,0.0,519.3
2023-01-13,22시,(군산)삼랑진태양광,3.0,0.0,519.3
2023-01-13,23시,(군산)삼랑진태양광,3.0,0.0,519.3
2023-01-13,24시,(군산)삼랑진태양광,3.0,0.0,519.3
2023-01-14,01시,(군산)삼랑진태양광,3.0,0.0,327.6
2023-01-14,02시,(군산)삼랑진태양광,3.0,0.0,327.6
2023-01-14,03시,(군산)삼랑진태양광,3.0,0.0,327.6
2023-01-14,04시,(군산)삼랑진태양광,3.0,0.0,327.6
2023-01-14,05시,(군산)삼랑진태양광,3.0,0.0,327.6
2023-01-14,06시,(군산)삼랑진태양광,3.0,0.0,327.6
2023-01-14,07시,(군산)삼랑진태양광,3.0,0.0,327.6
2023-01-14,08시,(군산)삼랑진태양광,3.0,0.0,327.6
2023-01-14,09시,(군산)삼랑진태양광,3.0,0.0,327.6
2023-01-14,10시,(군산)삼랑진태양광,3.0,23.375999999999998,327.6
2023-01-14,11시,(군산)삼랑진태양광,3.0,80.868,327.6
2023-01-14,12시,(군산)삼랑진태양광,3.0,59.867999999999995,327.6
2023-01-14,13시,(군산)삼랑진태양광,3.0,65.844,327.6
2023-01-14,14시,(군산)삼랑진태양광,3.0,88.548,327.6
2023-01-14,15시,(군산)삼랑진태양광,3.0,149.64,327.6
2023-01-14,16시,(군산)삼랑진태양광,3.0,50.712,327.6
2023-01-14,17시,(군산)삼랑진태양광,3.0,4.104,327.6
2023-01-14,18시,(군산)삼랑진태양광,3.0,0.0,327.6
2023-01-14,19시,(군산)삼랑진태양광,3.0,0.0,327.6
2023-01-14,20시,(군산)삼랑진태양광,3.0,0.0,327.6
2023-01-14,21시,(군산)삼랑진태양광,3.0,0.0,327.6
2023-01-14,22시,(군산)삼랑진태양광,3.0,0.0,327.6
2023-01-14,23시,(군산)삼랑진태양광,3.0,0.0,327.6
2023-01-14,24시,(군산)삼랑진태양광,3.0,0.0,327.6
2023-01-15,01시,(군산)삼랑진태양광,3.0,0.0,349.92
2023-01-15,02시,(군산)삼랑진태양광,3.0,0.0,349.92
2023-01-15,03시,(군산)삼랑진태양광,3.0,0.0,349.92
2023-01-15,04시,(군산)삼랑진태양광,3.0,0.0,349.92
2023-01-15,05시,(군산)삼랑진태양광,3.0,0.0,349.92
