날짜,발전기명,설비용량(MW),시간,해당 시간 발전량(kWh),해당날짜 총 발전량(kMh)
2023-09-16,(군산)영암F1태양광,13.296,01시,0.0,7382.4
2023-09-17,(군산)영암F1태양광,13.296,01시,0.0,41913.6
2023-09-18,(군산)영암F1태양광,13.296,01시,0.0,62102.4
2023-09-19,(군산)영암F1태양광,13.296,01시,0.0,43372.8
2023-09-20,(군산)영암F1태양광,13.296,01시,0.0,8265.6
2023-09-21,(군산)영암F1태양광,13.296,01시,0.0,16358.4
2023-09-22,(군산)영암F1태양광,13.296,01시,0.0,46003.2
2023-09-23,(군산)영암F1태양광,13.296,01시,0.0,45436.8
2023-09-24,(군산)영암F1태양광,13.296,01시,0.0,65366.4
2023-09-25,(군산)영암F1태양광,13.296,01시,0.0,36307.2
2023-09-26,(군산)영암F1태양광,13.296,01시,0.0,52963.2
2023-09-27,(군산)영암F1태양광,13.296,01시,0.0,47798.4
2023-09-28,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-09-29,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-09-30,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-10-01,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-10-02,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-10-03,(군산)영암F1태양광,13.296,01시,0.0,0.0
2023-10-04,(군산)영암F1태양광,13.296,01시,0.0,45302.4
2023-10-05,(군산)영암F1태양광,13.296,01시,0.0,68236.8
2023-10-06,(군산)영암F1태양광,13.296,01시,0.0,34454.4
2023-10-07,(군산)영암F1태양광,13.296,01시,0.0,20361.6
2023-10-08,(군산)영암F1태양광,13.296,01시,0.0,32582.4
2023-10-09,(군산)영암F1태양광,13.296,01시,0.0,41865.6
2023-10-10,(군산)영암F1태양광,13.296,01시,0.0,54902.4
2023-10-11,(군산)영암F1태양광,13.296,01시,0.0,60806.4
2023-10-12,(군산)영암F1태양광,13.296,01시,0.0,55084.8
2023-10-13,(군산)영암F1태양광,13.296,01시,0.0,34444.8
2023-10-14,(군산)영암F1태양광,13.296,01시,0.0,45878.4
2023-10-15,(군산)영암F1태양광,13.296,01시,0.0,61344.0
2023-10-16,(군산)영암F1태양광,13.296,01시,0.0,58569.6
2023-10-17,(군산)영암F1태양광,13.296,01시,0.0,70790.4
2023-10-18,(군산)영암F1태양광,13.296,01시,0.0,66576.0
2023-10-19,(군산)영암F1태양광,13.296,01시,0.0,42163.2
2023-10-20,(군산)영암F1태양광,13.296,01시,0.0,53164.8
2023-10-21,(군산)영암F1태양광,13.296,01시,0.0,52262.4
2023-10-22,(군산)영암F1태양광,13.296,01시,0.0,51014.4
2023-10-23,(군산)영암F1태양광,13.296,01시,0.0,60268.8
2023-10-24,(군산)영암F1태양광,13.296,01시,0.0,44332.8
2023-10-25,(군산)영암F1태양광,13.296,01시,0.0,58137.6
2023-10-26,(군산)영암F1태양광,13.296,01시,0.0,47539.2
2023-10-27,(군산)영암F1태양광,13.296,01시,0.0,64531.2
2023-10-28,(군산)영암F1태양광,13.296,01시,0.0,62755.2
2023-10-29,(군산)영암F1태양광,13.296,01시,0.0,58819.2
2023-10-30,(군산)영암F1태양광,13.296,01시,0.0,60633.6
2023-10-31,(군산)영암F1태양광,13.296,01시,0.0,50534.4
2023-11-01,(군산)영암F1태양광,13.296,01시,0.0,54873.6
2023-11-02,(군산)영암F1태양광,13.296,01시,0.0,56342.4
2023-11-03,(군산)영암F1태양광,13.296,01시,0.0,53404.8
2023-11-04,(군산)영암F1태양광,13.296,01시,0.0,35404.8
2023-11-05,(군산)영암F1태양광,13.296,01시,0.0,12038.4
2023-11-06,(군산)영암F1태양광,13.296,01시,0.0,20275.2
2023-11-07,(군산)영암F1태양광,13.296,01시,0.0,37286.4
2023-11-08,(군산)영암F1태양광,13.296,01시,0.0,60019.2
2023-11-09,(군산)영암F1태양광,13.296,01시,0.0,32592.0
2023-11-10,(군산)영암F1태양광,13.296,01시,0.0,33945.6
2023-11-11,(군산)영암F1태양광,13.296,01시,0.0,49708.8
2023-11-12,(군산)영암F1태양광,13.296,01시,0.0,39206.4
2023-11-13,(군산)영암F1태양광,13.296,01시,0.0,31228.8
2023-11-14,(군산)영암F1태양광,13.296,01시,0.0,20400.0
2023-11-15,(군산)영암F1태양광,13.296,01시,0.0,48912.0
2023-11-16,(군산)영암F1태양광,13.296,01시,0.0,4291.2
2023-11-17,(군산)영암F1태양광,13.296,01시,0.0,24019.2
2023-11-18,(군산)영암F1태양광,13.296,01시,0.0,12940.8
2023-11-19,(군산)영암F1태양광,13.296,01시,0.0,46032.0
2023-11-20,(군산)영암F1태양광,13.296,01시,0.0,58848.0
2023-11-21,(군산)영암F1태양광,13.296,01시,0.0,57072.0
2023-11-22,(군산)영암F1태양광,13.296,01시,0.0,51820.8
2023-11-23,(군산)영암F1태양광,13.296,01시,0.0,30566.4
2023-11-24,(군산)영암F1태양광,13.296,01시,0.0,28454.4
2023-11-25,(군산)영암F1태양광,13.296,01시,0.0,61939.2
2023-11-26,(군산)영암F1태양광,13.296,01시,0.0,32006.4
2023-11-27,(군산)영암F1태양광,13.296,01시,0.0,12153.6
2023-11-28,(군산)영암F1태양광,13.296,01시,0.0,2515.2
2023-11-29,(군산)영암F1태양광,13.296,01시,0.0,23337.6
2023-11-30,(군산)영암F1태양광,13.296,01시,0.0,20668.8
2023-12-01,(군산)영암F1태양광,13.296,01시,0.0,22243.2
2023-12-02,(군산)영암F1태양광,13.296,01시,0.0,9456.0
2023-12-03,(군산)영암F1태양광,13.296,01시,0.0,45043.2
2023-12-04,(군산)영암F1태양광,13.296,01시,0.0,42249.6
2023-12-05,(군산)영암F1태양광,13.296,01시,0.0,47376.0
2023-12-06,(군산)영암F1태양광,13.296,01시,0.0,20217.6
