일자,발전구분,설비용량(MW),시간,발전량(kWh),연식(년)
2023-11-22,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-11-23,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-11-24,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-11-25,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-11-26,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-11-27,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-11-28,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-11-29,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-11-30,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-01,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-02,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-03,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-04,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-05,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-06,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-07,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-08,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-09,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-10,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-11,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-12,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-13,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-14,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-15,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-16,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-17,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-18,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-19,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-20,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-12-21,(군산)영암F1태양광,13.296,1,0.0,11.1
2023-12-22,(군산)영암F1태양광,13.296,1,0.0,11.1
2023-12-23,(군산)영암F1태양광,13.296,1,0.0,11.1
2023-12-24,(군산)영암F1태양광,13.296,1,0.0,11.1
2023-12-25,(군산)영암F1태양광,13.296,1,0.0,11.1
2023-12-26,(군산)영암F1태양광,13.296,1,0.0,11.1
2023-12-27,(군산)영암F1태양광,13.296,1,0.0,11.1
2023-12-28,(군산)영암F1태양광,13.296,1,0.0,11.1
2023-12-29,(군산)영암F1태양광,13.296,1,0.0,11.1
2023-12-30,(군산)영암F1태양광,13.296,1,0.0,11.1
2023-12-31,(군산)영암F1태양광,13.296,1,0.0,11.1
2023-01-01,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-02,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-03,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-04,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-05,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-06,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-07,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-08,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-09,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-10,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-11,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-12,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-13,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-14,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-15,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-16,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-17,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-18,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-19,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-20,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-21,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-22,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-23,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-24,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-25,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-26,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-27,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-28,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-29,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-30,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-31,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-01,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-02,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-03,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-04,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-05,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-06,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-07,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-08,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-09,(군산)삼랑진태양광,2.0,1,0.0,14.8
