날짜,발전기코드,발전기명,충전_방전,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,합계
2019-05-01,9389,농촌공진도태양광,방전,0,0,0,0,0,0,21456,109440,256824,384480,415944,492264,494856,401688,218016,191592,207144,218160,23472,0,0,0,0,0,3435336
2019-05-02,9389,농촌공진도태양광,방전,0,0,0,0,0,0,27360,163944,393336,494424,494784,494352,494136,494496,494352,493920,402984,194184,49104,0,0,0,0,0,4691376
2019-05-03,9389,농촌공진도태양광,방전,0,0,0,0,0,0,31824,163440,374616,493200,493992,493992,493848,491184,492984,492840,392688,190728,52416,0,0,0,0,0,4657752
2019-05-04,9389,농촌공진도태양광,방전,0,0,0,0,0,0,38520,169200,371232,486144,494064,493776,493704,491040,489384,448704,334656,212976,51984,0,0,0,0,0,4575384
2019-05-05,9389,농촌공진도태양광,방전,0,0,0,0,0,0,30456,77832,197208,273240,473472,494352,493776,493992,494136,493560,407880,176184,79488,0,0,0,0,0,4185576
2019-05-06,9389,농촌공진도태양광,방전,0,0,0,0,0,0,40752,178056,408096,495648,495432,495792,495648,495792,495720,495432,443448,231264,60840,0,0,0,0,0,4831920
2019-05-07,9389,농촌공진도태양광,방전,0,0,0,0,0,0,39600,204552,426384,494280,494352,494640,494424,493344,493920,492984,430200,223344,61632,0,0,0,0,0,4843656
2019-05-08,9389,농촌공진도태양광,방전,0,0,0,0,0,0,59904,176472,399744,484992,489960,460440,476712,467352,479016,374832,255240,143712,41472,0,0,0,0,0,4309848
2019-05-09,9389,농촌공진도태양광,방전,0,0,0,0,0,0,10080,50544,153864,365904,489456,492768,494928,492408,494280,492840,408528,216504,72504,0,0,0,0,0,4234608
2019-05-10,9389,농촌공진도태양광,방전,0,0,0,0,0,0,45144,153720,331128,485352,491904,82944,0,0,0,0,0,0,0,0,0,0,0,0,1590192
2019-05-11,9389,농촌공진도태양광,방전,0,0,0,0,0,0,44136,195624,401976,494208,493344,482688,485352,487872,460080,487008,343728,219384,77616,0,0,0,0,0,4673016
2019-05-12,9389,농촌공진도태양광,방전,0,0,0,0,0,0,36504,197208,393624,484632,491832,491832,493848,490176,490824,490824,373104,201312,68904,0,0,0,0,0,4704624
2019-05-13,9389,농촌공진도태양광,방전,0,0,0,0,0,0,46872,187992,385848,493848,491472,489528,488952,482040,68760,0,0,0,0,0,0,0,0,0,3135312
2019-05-14,9389,농촌공진도태양광,방전,0,0,0,0,0,0,47520,167760,363600,488160,490824,490896,493344,493272,491472,489528,127080,93744,31176,0,0,0,0,0,4268376
2019-05-15,9389,농촌공진도태양광,방전,0,0,0,0,0,0,60984,85608,181224,270648,438120,484272,426744,0,0,0,0,0,0,0,0,0,0,0,1947600
2019-05-16,9389,농촌공진도태양광,방전,0,0,0,0,0,0,41832,106344,342576,475344,438624,0,0,0,0,0,0,0,0,0,0,0,0,0,1404720
2019-05-17,9389,농촌공진도태양광,방전,0,0,0,0,0,0,67752,188208,330120,466848,436824,438840,359208,198360,99504,47304,21528,10368,17496,0,0,0,0,0,2682360
2019-05-18,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,41688,173376,301896,235512,0,0,0,0,0,0,0,0,0,0,0,0,752472
2019-05-19,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,14904,82296,130824,104544,84096,103536,212472,211752,115488,60624,25848,9936,0,0,0,0,0,1156320
2019-05-20,9389,농촌공진도태양광,방전,0,0,0,0,0,0,26784,123552,168624,194184,400248,415008,489528,493704,495504,495504,446688,243000,69192,8928,0,0,0,0,4070448
2019-05-21,9389,농촌공진도태양광,방전,0,0,0,0,0,0,49248,219456,430776,494136,493848,494064,494352,494280,494496,492912,425088,230544,72216,7632,0,0,0,0,4893048
2019-05-22,9389,농촌공진도태양광,방전,0,0,0,0,0,0,53496,113760,202680,283824,395784,493488,493704,492984,493632,492696,401760,224424,71856,0,0,0,0,0,4214088
2019-05-23,9389,농촌공진도태양광,방전,0,0,0,0,0,0,37368,91944,192960,276408,493704,493560,493488,492768,493416,493056,408024,217152,72720,7848,0,0,0,0,4264416
2019-05-24,9389,농촌공진도태양광,방전,0,0,0,0,0,0,48672,177192,361080,487008,492984,476496,291600,371304,340992,421560,396432,208080,72216,0,0,0,0,0,4145616
2019-05-25,9389,농촌공진도태양광,방전,0,0,0,0,0,0,16992,81144,182232,412056,487728,487080,492984,262152,335880,185328,185760,189720,54720,7272,0,0,0,0,3381048
2019-05-26,9389,농촌공진도태양광,방전,0,0,0,0,0,0,67680,182304,295920,443376,414936,431136,190224,196776,234432,160200,75528,37512,14832,0,0,0,0,0,2744856
2019-05-27,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,0,11376,22248,59976,92592,132264,112104,92520,57744,35064,21456,0,0,0,0,0,0,637344
2019-05-28,9389,농촌공진도태양광,방전,0,0,0,0,0,0,39168,139752,331416,478080,476496,495000,473184,486936,467136,430200,440424,229320,80568,11880,0,0,0,0,4579560
2019-05-29,9389,농촌공진도태양광,방전,0,0,0,0,0,0,37656,107064,205488,372744,613872,765000,798912,781056,712584,587736,421920,218448,82440,11088,0,0,0,0,5716008
2019-05-30,9389,농촌공진도태양광,방전,0,0,0,0,0,0,51480,156240,348984,502272,633816,773784,650448,416520,283536,135864,63648,30888,27504,0,0,0,0,0,4074984
2019-05-31,9389,농촌공진도태양광,방전,0,0,0,0,0,0,8136,25056,84744,196488,458424,782568,584280,749880,765000,635760,457344,222048,85392,15696,0,0,0,0,5070816
2019-06-01,9389,농촌공진도태양광,방전,0,0,0,0,0,0,59400,201600,237960,384624,622080,703224,684864,570672,475344,338760,234144,152280,96912,10800,0,0,0,0,4772664
