날짜,발전기명,설비용량(MW),시간,해당 시간 발전량(kWh),해당날짜 총 발전량(kMh),주소지
2023-07-21,장흥풍력,18.0,01시,0.0,40582.175,전남 장흥군 유치면 용문리 산4번지 외 204필지
2023-07-22,장흥풍력,18.0,01시,5072.229,107239.976,전남 장흥군 유치면 용문리 산4번지 외 205필지
2023-07-23,장흥풍력,18.0,01시,4046.792,83772.057,전남 장흥군 유치면 용문리 산4번지 외 206필지
2023-07-24,장흥풍력,18.0,01시,4064.147,32960.088,전남 장흥군 유치면 용문리 산4번지 외 207필지
2023-07-25,장흥풍력,18.0,01시,509.103,25609.913,전남 장흥군 유치면 용문리 산4번지 외 208필지
2023-07-26,장흥풍력,18.0,01시,971.924,35744.248,전남 장흥군 유치면 용문리 산4번지 외 209필지
2023-07-27,장흥풍력,18.0,01시,1475.242,34428.103,전남 장흥군 유치면 용문리 산4번지 외 210필지
2023-07-28,장흥풍력,18.0,01시,3043.048,35776.066,전남 장흥군 유치면 용문리 산4번지 외 211필지
2023-07-29,장흥풍력,18.0,01시,916.964,15769.18,전남 장흥군 유치면 용문리 산4번지 외 212필지
2023-07-30,장흥풍력,18.0,01시,63.638,22640.626,전남 장흥군 유치면 용문리 산4번지 외 213필지
2023-07-31,장흥풍력,18.0,01시,13.017,818.614,전남 장흥군 유치면 용문리 산4번지 외 214필지
2023-08-01,장흥풍력,18.0,01시,1.446,3291.813,전남 장흥군 유치면 용문리 산4번지 외 215필지
2023-08-02,장흥풍력,18.0,01시,146.078,3181.894,전남 장흥군 유치면 용문리 산4번지 외 216필지
2023-08-03,장흥풍력,18.0,01시,0.0,12944.527,전남 장흥군 유치면 용문리 산4번지 외 217필지
2023-08-04,장흥풍력,18.0,01시,565.509,13115.19,전남 장흥군 유치면 용문리 산4번지 외 218필지
2023-08-05,장흥풍력,18.0,01시,274.8,2105.836,전남 장흥군 유치면 용문리 산4번지 외 219필지
2023-08-06,장흥풍력,18.0,01시,143.185,3771.991,전남 장흥군 유치면 용문리 산4번지 외 220필지
2023-08-07,장흥풍력,18.0,01시,15.909,5702.822,전남 장흥군 유치면 용문리 산4번지 외 221필지
2023-08-08,장흥풍력,18.0,01시,72.316,12166.409,전남 장흥군 유치면 용문리 산4번지 외 222필지
2023-08-09,장흥풍력,18.0,01시,2461.629,69642.998,전남 장흥군 유치면 용문리 산4번지 외 223필지
2023-08-10,장흥풍력,18.0,01시,0.0,0.0,전남 장흥군 유치면 용문리 산4번지 외 224필지
2023-08-11,장흥풍력,18.0,01시,0.0,7591.711,전남 장흥군 유치면 용문리 산4번지 외 225필지
2023-08-12,장흥풍력,18.0,01시,10.124,2030.626,전남 장흥군 유치면 용문리 산4번지 외 226필지
2023-08-13,장흥풍력,18.0,01시,0.0,4875.53,전남 장흥군 유치면 용문리 산4번지 외 227필지
2023-08-14,장흥풍력,18.0,01시,0.0,1013.868,전남 장흥군 유치면 용문리 산4번지 외 228필지
2023-08-15,장흥풍력,18.0,01시,0.0,17082.436,전남 장흥군 유치면 용문리 산4번지 외 229필지
2023-08-16,장흥풍력,18.0,01시,86.779,8523.14,전남 장흥군 유치면 용문리 산4번지 외 230필지
2023-08-17,장흥풍력,18.0,01시,675.429,11710.819,전남 장흥군 유치면 용문리 산4번지 외 231필지
2023-08-18,장흥풍력,18.0,01시,0.0,915.518,전남 장흥군 유치면 용문리 산4번지 외 232필지
2023-08-19,장흥풍력,18.0,01시,0.0,1009.529,전남 장흥군 유치면 용문리 산4번지 외 233필지
2023-08-20,장흥풍력,18.0,01시,0.0,1699.421,전남 장흥군 유치면 용문리 산4번지 외 234필지
2023-08-21,장흥풍력,18.0,01시,0.0,53869.478,전남 장흥군 유치면 용문리 산4번지 외 235필지
2023-08-22,장흥풍력,18.0,01시,5600.135,115055.867,전남 장흥군 유치면 용문리 산4번지 외 236필지
2023-08-23,장흥풍력,18.0,01시,4456.099,60466.125,전남 장흥군 유치면 용문리 산4번지 외 237필지
2023-08-24,장흥풍력,18.0,01시,3106.686,20945.545,전남 장흥군 유치면 용문리 산4번지 외 238필지
2023-08-25,장흥풍력,18.0,01시,974.817,28969.705,전남 장흥군 유치면 용문리 산4번지 외 239필지
2023-08-26,장흥풍력,18.0,01시,997.958,17264.669,전남 장흥군 유치면 용문리 산4번지 외 240필지
