"발전구분","호기","일자","1시 발전량(MWh)","2시 발전량(MWh)","3시 발전량(MWh)","4시 발전량(MWh)","5시 발전량(MWh)","6시 발전량(MWh)","7시 발전량(MWh)","8시 발전량(MWh)","9시 발전량(MWh)","10시 발전량(MWh)","11시 발전량(MWh)","12시 발전량(MWh)","13시 발전량(MWh)","14시 발전량(MWh)","15시 발전량(MWh)","16시 발전량(MWh)","17시 발전량(MWh)","18시 발전량(MWh)","19시 발전량(MWh)","20시 발전량(MWh)","21시 발전량(MWh)","22시 발전량(MWh)","23시 발전량(MWh)","24시 발전량(MWh)","총량(KW)","평균(KW)","최대(시간별)","최소(시간별)","최대","최소"
"영흥풍력","1"," 2025-05-18 00:00:00","328.946","324.53","399.767","276.056","248.849","132.594","0","0","0","3248.972","149.023","0","0","0","0","0","0","0","0","0","0","0","0","0","5108.737","213","3248.97","132.594","3248.972","0"
"영흥풍력","2"," 2025-05-18 00:00:00","3767.04","3830.4","3275.52","3102.72","3477.12","3089.28","1770.24","1562.88","1347.84","3287.04","2515.2","387.84","0","1.92","0","0","26.88","32.64","140.16","157.44","24.96","17.28","0","0","31814.4","1326","3830.4","1.92","3830.4","0"
"군위 화산풍력","1"," 2025-05-18 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"어음풍력","1"," 2025-05-18 00:00:00","183.12","235.704","1878.24","3170.44","3129.28","1776.88","2253.776","3643.024","3471.664","1691.424","1911.896","2141.72","1456.896","1491.952","200.312","183.904","0","0","0","0","0","0","0","112.952","28933.184","1206","3643.02","112.952","3643.024","0"
"삼천포풍력","1"," 2025-05-17 00:00:00","0","0","0","8.64","20.592","36.072","0.432","0","0.072","0","20.088","11.592","104.76","75.312","45.864","50.472","20.592","0","63","9.576","0","6.408","4.536","0.144","478.152","20","104.76","0.072","104.76","0"
"영흥풍력","1"," 2025-05-17 00:00:00","75.285","41.944","0","0","0","0","0","0","39.187","328.31","0","103.246","297.382","283.113","637.882","945.225","803.915","515.491","406.94","239.651","56.773","167.342","435.688","363.537","5740.911","239","945.22","39.187","945.225","0"
"영흥풍력","2"," 2025-05-17 00:00:00","743.04","720","360.96","149.76","0","0","21.12","0","0","2999.04","2113.92","1309.44","2989.44","2392.32","8476.8","11283.84","10032","13355.52","10755.84","3112.32","735.36","1140.48","3962.88","5038.08","81692.16","3404","13355.52","21.12","13355.52","0"
"군위 화산풍력","1"," 2025-05-17 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"어음풍력","1"," 2025-05-17 00:00:00","18496.968","9881.424","1641.024","0","0","0","0","0","26.32","0","0","0","0","0","173.32","0","140.168","506.912","623.224","0","0","0","0","2.296","31491.656","1312","18496.96","2.296","18496.968","0"
"삼천포풍력","1"," 2025-05-16 00:00:00","0","0.648","0","0","0","0","0","4.896","2.736","0","0","3.6","0","0","0.216","76.176","17.208","28.584","113.904","210.24","81.504","60.768","18.072","29.52","648.072","27","210.24","0.216","210.24","0"
