설비용량(MW),연식(년),기온(°C),풍속(m/s)_cubed,습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),풍향_sin,풍향_cos,시간_sin,시간_cos,월_sin,월_cos,블레이드,air_density,absolute_humidity,계절_encoded,실제,예측,오차,절대오차,발전구분
3.0,12.29021218,4.7,54.87199999999999,79.0,6.7,1.3,1016.7,0.766044443,0.64278761,0.965925826,0.258819045,0.866025404,0.5,45.0,1.271551762,5.326861885,2,1204.0,276.6239722545506,927.3760277454494,927.3760277454494,한경풍력
2.0,14.93497604,11.9,148.87699999999998,77.0,10.6,7.9,1010.6,0.342020143,0.939692621,0.707106781,0.707106781,0.866025404,0.5,40.0,1.230143211,8.261912058,2,1792.0,864.6873772829676,927.3126227170324,927.3126227170324,성산풍력
2.0,9.943874059,10.3,9.261000000000001,43.0,5.4,-1.7,1014.7,0.342020143,0.939692621,0.0,1.0,0.866025404,0.5,40.0,1.244605629,4.299817614,2,1991.25,1063.9636415903515,927.2863584096485,927.2863584096485,성산풍력
2.0,12.23819302,21.0,0.21599999999999997,84.0,20.8,18.1,997.3,-0.766044443,-0.64278761,0.0,1.0,0.5,-0.866025404,40.0,1.171786973,15.52447641,3,1429.5,502.3478107447736,927.1521892552264,927.1521892552264,성산풍력
2.0,20.5065024,15.0,0.3429999999999999,98.0,16.6,14.6,1004.3,-1.0,-1.84e-16,0.5,0.866025404,1.0,6.12e-17,40.0,1.206560037,12.57210234,2,1221.166667,294.08002168522216,927.0866453147778,927.0866453147778,성산풍력
2.0,13.45653662,15.9,6.858999999999999,79.0,14.2,12.2,1016.1,-0.766044443,-0.64278761,-0.258819045,-0.965925826,0.866025404,0.5,40.0,1.218135347,10.8250607,2,1691.666667,764.7791362413554,926.8875307586445,926.8875307586445,성산풍력
2.0,13.83436003,12.7,35.937,85.0,12.4,10.2,1007.9,-0.939692621,-0.342020143,0.0,1.0,0.0,1.0,40.0,1.22260229,9.536925314,1,1915.75,988.867086026381,926.882913973619,926.882913973619,성산풍력
2.0,18.80082136,6.8,1.7279999999999998,67.0,6.6,1.0,1018.8,-2.45e-16,1.0,-0.965925826,0.258819045,0.0,1.0,40.0,1.264687379,5.230250162,1,1525.0,598.127415480325,926.872584519675,926.872584519675,성산풍력
2.0,15.49075975,11.8,15.625,48.0,6.6,1.1,1017.5,-1.0,-1.84e-16,1.0,6.12e-17,0.866025404,0.5,40.0,1.240896935,5.245027955,2,1610.333333,683.49073660266,926.84259639734,926.84259639734,성산풍력
3.0,16.30390144,7.8,438.97599999999994,80.0,8.4,4.5,1012.1,-2.45e-16,1.0,1.0,6.12e-17,0.866025404,0.5,45.0,1.251013955,6.60267463,2,1982.4,1055.7355931631428,926.6644068368573,926.6644068368573,한경풍력
2.0,20.26283368,8.2,4.912999999999999,69.0,7.5,2.8,1021.9,0.766044443,0.64278761,0.707106781,-0.707106781,0.0,1.0,40.0,1.261820206,5.88850877,1,1182.5,255.87261467939243,926.6273853206076,926.6273853206076,성산풍력
2.0,13.60711841,16.6,2.197,78.0,14.7,12.7,1012.7,0.342020143,0.939692621,0.866025404,0.5,-0.866025404,0.5,40.0,1.210894495,11.15648918,0,1255.0,328.4745525073158,926.5254474926842,926.5254474926842,성산풍력
3.0,9.831622177,24.4,1442.8970000000002,99.0,30.2,24.2,997.9,-0.342020143,-0.939692621,0.866025404,-0.5,-1.0,-1.84e-16,45.0,1.154952305,22.04376322,0,2756.4,1829.971693394211,926.4283066057892,926.4283066057892,한경풍력
2.0,10.10814511,23.0,46.656000000000006,72.0,20.1,17.6,997.0,0.939692621,-0.342020143,-0.258819045,-0.965925826,0.866025404,-0.5,40.0,1.163813646,15.0549274,2,1759.0,832.5789936823421,926.4210063176579,926.4210063176579,성산풍력
